'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
Key.ctrl_l	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:48
'\x1a'	 at 10:43:49
Key.ctrl_l	 at 10:43:49
'\x1a'	 at 10:43:49
'\x1a'	 at 10:43:50
'\x1a'	 at 10:43:50
Key.ctrl_l	 at 10:43:50
'\x1a'	 at 10:43:50
Key.ctrl_l	 at 10:43:51
'\x1a'	 at 10:43:51
Key.ctrl_l	 at 10:43:51
'\x1a'	 at 10:43:51
Key.ctrl_l	 at 10:43:52
'\x1a'	 at 10:43:52
Key.ctrl_l	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:56
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
'\x1a'	 at 10:43:57
Key.esc	 at 10:43:59
a 	at 11:26:15
s 	at 11:26:15
d 	at 11:26:15
Key.ctrl_l 	at 11:26:21
Ctrl + C 	at 11:26:21
Key.ctrl_l 	at 11:26:23
Ctrl + C 	at 11:26:23
Key.ctrl_l 	at 11:26:24
Ctrl + C 	at 11:26:24
Key.ctrl_l 	at 11:26:24
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:25
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Ctrl + C 	at 11:26:26
Key.backspace 	at 11:26:53
Key.backspace 	at 11:26:53
Key.backspace 	at 11:26:53
Key.backspace 	at 11:26:53
Key.backspace 	at 11:26:55
Key.ctrl_l 	at 11:27:06
Key.ctrl_l 	at 11:27:07
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
Key.ctrl_l 	at 11:27:08
g 	at 11:27:13
e 	at 11:27:13
t 	at 11:27:14
a 	at 11:27:14
t 	at 11:27:15
t 	at 11:27:15
r 	at 11:27:15
Key.enter 	at 11:27:16
Key.ctrl_l 	at 11:27:18
Key.backspace 	at 11:29:32
t 	at 11:29:32
Key.space 	at 11:29:32
p 	at 11:29:33
y 	at 11:29:34
t 	at 11:29:34
h 	at 11:29:34
Key.down 	at 11:29:35
Key.down 	at 11:29:35
Key.enter 	at 11:29:35
Key.backspace 	at 11:30:58
Key.backspace 	at 11:30:58
Key.backspace 	at 11:30:58
Key.backspace 	at 11:30:58
Key.shift 	at 11:31:01
" 	at 11:31:02
Key.right 	at 11:31:02
Key.right 	at 11:31:03
Key.right 	at 11:31:03
Key.right 	at 11:31:04
Key.left 	at 11:31:04
Key.shift 	at 11:31:05
" 	at 11:31:05
Key.ctrl_l 	at 11:34:12
 	at 11:34:12
Key.ctrl_l 	at 11:34:13
Key.ctrl_l 	at 11:34:14
 	at 11:34:14
Key.cmd 	at 12:28:51
l 	at 12:28:51
Key.enter 	at 12:39:16
